constituency,state,lat,lng,status
CHATRA,Jharkhand,24.2034,84.8722,dict
ANAKAPALLE,Andhra Pradesh,17.68897,83.003476,nominatim
MUMBAI SOUTH CENTRAL,Maharashtra,19.0167,72.8333,dict
BOLANGIR,Odisha,20.705,83.4833,dict
HARDWAR,Uttarakhand,29.938447,78.145298,nominatim
DHANBAD,Jharkhand,23.7957,86.4304,dict
AMBALA (SC),Haryana,30.3752,76.7821,dict
VELLORE,Tamil Nadu,12.9165,79.1325,dict
HYDERABAD,Telangana,17.385,78.4867,dict
MANDYA,Karnataka,12.5218,76.8951,dict
BHIND(SC),Madhya Pradesh,26.5613,78.7873,dict
SILCHAR,Assam,24.8333,92.7789,dict
BARGARH,Odisha,21.231992,83.565274,nominatim
SAMBHAL,Uttar Pradesh,28.5873,78.5695,dict
HAJIPUR(SC),Bihar,25.6927,85.2095,dict
VISAKHAPATNAM,Andhra Pradesh,17.6868,83.2185,dict
RAJMAHAL(ST),Jharkhand,25.0519,87.8414,dict
NANDED,Maharashtra,19.1383,77.321,dict
NAWADA,Bihar,24.8855,85.5395,dict
GANGANAGAR(SC),Rajasthan,29.9171,73.8778,dict
PALGHAR(ST),Maharashtra,19.6967,72.765,dict
RAIGANJ,West Bengal,25.62,88.12,dict
JAMSHEDPUR,Jharkhand,22.8046,86.2029,dict
NORTH WEST DELHI(SC),Delhi,28.73,77.08,dict
LAKSHADWEEP(ST),Lakshadweep,,,failed
RAMTEK(SC),Maharashtra,21.3945,79.3136,dict
MUMBAI NORTH EAST,Maharashtra,19.0833,72.9167,dict
VIJAYAWADA,Andhra Pradesh,16.5062,80.648,dict
KARAULI-DHOLPUR(SC),Rajasthan,,,failed
ZAHIRABAD,Telangana,17.6838,77.6077,dict
JAHANABAD,Bihar,25.238535,85.021988,nominatim
ARUNACHAL WEST,Arunachal Pradesh,27.533,92.9376,dict
Kaziranga,Assam,26.589253,93.408474,nominatim
JODHPUR,Rajasthan,26.2389,73.0243,dict
KARIMGANJ (SC),Assam,24.8653,92.359,dict
SECUNDERABAD,Telangana,17.4399,78.4983,dict
SHRAWASTI,Uttar Pradesh,27.87,81.6,dict
DHENKANAL,Odisha,20.6617,85.5979,dict
Shri Javed Ali Khan (2022-28) (2022-2028),Uttar Pradesh,,,failed
Shri Shambhu Sharan Patel (2022-28) (2022-2028),Bihar,,,failed
Shri Mithlesh Kumar (2022-28) (2022-2028),Uttar Pradesh,,,failed
Shri Vivek K. Tankha (2022-28) (2022-2028),Madhya Pradesh,,,failed
Shri Aditya Prasad (2022-28) (2022-2028),Jharkhand,,,failed
Smt. Darshana Singh (2022-28) (2022-2028),Uttar Pradesh,,,failed
Smt. Mahua Maji (2022-28) (2022-2028),Jharkhand,,,failed
Shri Ramji (2020-26) (2020-2026),Uttar Pradesh,,,failed
Shri R. Dharmar (2022-28) (2022-2028),Tamil Nadu,,,failed
Dr. Vikramjit Singh Sahney (2022-28) (2022-2028),Punjab,,,failed
Shri Sant Balbir Singh (2022-28) (2022-2028),Punjab,,,failed
Shri Naresh Bansal (2020-26) (2020-2026),Uttarakhand,,,failed
Shri Surendra Singh Nagar (2022-28) (2022-2028),Uttar Pradesh,,,failed
Shri Mukul Wasnik (2022-28) (2022-2028),Rajasthan,,,failed
Prof. Ram Gopal Yadav (2020-26) (2020-2026),Uttar Pradesh,,,failed
Smt. Seema Dwivedi (2020-26) (2020-2026),Uttar Pradesh,,,failed
Shri Gulam Ali (2022-28) (2022-2028),Jammu And Kashmir,,,failed
Dr. Sikander Kumar (2022-28) (2022-2028),Himachal Pradesh,,,failed
Shri Satish Chandra Dubey (2022-28) (2022-2028),Bihar,,,failed
Smt. Sulata Deo (2022-28) (2022-2028),Odisha,,,failed
Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028),Uttar Pradesh,,,failed
Shri Jairam Ramesh (2022-28) (2022-2028),Karnataka,,,failed
Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),Punjab,,,failed
Smt. Sangeeta Yadav (2022-28) (2022-2028),Uttar Pradesh,,,failed
Shri B.L. Verma (2020-26) (2020-2026),Uttar Pradesh,,,failed
Shri Jaggesh (2022-28) (2022-2028),Karnataka,,,failed
Shri Ghanshyam Tiwari (2022-28) (2022-2028),Rajasthan,,,failed
Dr. Kalpana Saini (2022-28) (2022-2028),Uttarakhand,,,failed
Dr. Kavita Patidar (2022-28) (2022-2028),Madhya Pradesh,,,failed
Shri Brij Lal (2020-26) (2020-2026),Uttar Pradesh,,,failed
Shri Baburam Nishad (2022-28) (2022-2028),Uttar Pradesh,,,failed
Shri S. Selvaganabathy (2021-27) (2021-2027),Puducherry,,,failed
Shri Jayant Chaudhary (2022-28) (2022-2028),Uttar Pradesh,,,failed
Shri Khiru Mahto (2022-28) (2022-2028),Bihar,,,failed
Shri Hardeep Singh Puri (2020-26) (2020-2026),Uttar Pradesh,,,failed
Shri Kapil Sibal (2022-28) (2022-2028),Uttar Pradesh,,,failed
Dr. Faiyaz Ahmad (2022-28) (2022-2028),Bihar,,,failed
Smt. S. Phangnon Konyak (2022-28) (2022-2028),Nagaland,,,failed
Smt. Geeta alias Chandraprabha (2020-26) (2020-2026),Uttar Pradesh,,,failed
Shri S. Kalyanasundaram (2022-28) (2022-2028),Tamil Nadu,,,failed
Shri Ilaiyaraaja (2022-28) (2022-2028),Tamil Nadu,,,failed
Dr. K. Laxman (2022-28) (2022-2028),Uttar Pradesh,,,failed
Shri S Niranjan Reddy (2022-28) (2022-2028),Andhra Pradesh,,,failed
Shri R. Girirajan (2022-28) (2022-2028),Tamil Nadu,,,failed
Shri Pramod Tiwari (2022-28) (2022-2028),Rajasthan,,,failed
Dr. Sasmit Patra (2022-28) (2022-2028),Odisha,,,failed
Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028),Karnataka,,,failed
Dr. Dinesh Sharma (2023-26) (2023-2026),Uttar Pradesh,,,failed
Smt. Ranjeet Ranjan (2022-28) (2022-2028),Chhattisgarh,,,failed
Shri Harbhajan Singh (2022-28) (2022-2028),Punjab,,,failed
Shri S. Jaishankar (2023-29) (2023-2029),Gujarat,,,failed
Shri Arun Singh (2020-26) (2020-2026),Uttar Pradesh,,,failed
Shri V. Vijayendra Prasad (2022-28) (2022-2028),Andhra Pradesh,,,failed
Smt. Sumitra Balmik (2022-28) (2022-2028),Madhya Pradesh,,,failed
Shri Sandosh Kumar P (2022-28) (2022-2028),Kerala,,,failed
Dr. John Brittas (2021-27) (2021-2027),Kerala,,,failed
Shri P. Chidambaram (2022-28) (2022-2028),Tamil Nadu,,,failed
Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029),Goa,,,failed
Shri Neeraj Shekhar (2020-26) (2020-2026),Uttar Pradesh,,,failed
Shri K.R.N. Rajeshkumar (2022-28) (2022-2028),Tamil Nadu,,,failed
Smt. P. T. Usha (2022-28) (2022-2028),Kerala,,,failed
Shri Damodar Rao Divakonda (2022-28) (2022-2028),Telangana,,,failed
Shri Abdul Wahab (2021-27) (2021-2027),Kerala,,,failed
Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028),Maharashtra,,,failed
Shri Manas Ranjan Mangaraj (2022-28) (2022-2028),Odisha,,,failed
Shri Rwngwra Narzary (2022-28) (2022-2028),Assam,,,failed
Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029),Gujarat,,,failed
Shri Randeep Singh Surjewala (2022-28) (2022-2028),Rajasthan,,,failed
Shri A. A. Rahim (2022-28) (2022-2028),Kerala,,,failed
Shri Sanjay Seth (2024-30) (2024-2030),Uttar Pradesh,,,failed
Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028),Maharashtra,,,failed
Dr. Laxmikant Bajpayee (2022-28) (2022-2028),Uttar Pradesh,,,failed
Shri Harsh Mahajan (2024-30) (2024-2030),Himachal Pradesh,,,failed
Shri Raghav Chadha (2022-28) (2022-2028),Punjab,,,failed
Shri Praful Patel (2024-30) (2024-2030),Maharashtra,,,failed
Shri Meda Raghunadha Reddy (2024-30) (2024-2030),Andhra Pradesh,,,failed
Shri Ashwini Vaishnaw (2024-30) (2024-2030),Odisha,,,failed
Dr. Bhim Singh (2024-30) (2024-2030),Bihar,,,failed
Smt. Jebi Mather Hisham (2022-28) (2022-2028),Kerala,,,failed
Shri Satnam Singh Sandhu (2024-30) (2024-2030),Chandigarh,,,failed
Dr. Ashok Kumar Mittal (2022-28) (2022-2028),Punjab,,,failed
Shri Dorjee Tshering Lepcha (2024-30) (2024-2030),Sikkim,,,failed
Shri Sanjay Raut (2022-28) (2022-2028),Maharashtra,,,failed
Shri Haris Beeran (2024-30) (2024-2030),Kerala,,,failed
Shri Kesridevsinh Jhala (2023-29) (2023-2029),Gujarat,,,failed
Shri Narayanasa K. Bhandage (2024-30) (2024-2030),Karnataka,,,failed
Dr. Dharmshila Gupta (2024-30) (2024-2030),Bihar,,,failed
Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030),Telangana,,,failed
Shri Nagendra Ray (2023-29) (2023-2029),West Bengal,,,failed
Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030),Telangana,,,failed
Shri Chandrakant Damodar Handore (2024-30) (2024-2030),Maharashtra,,,failed
Smt. Nirmala Sitharaman (2022-28) (2022-2028),Karnataka,,,failed
Shri Imran Pratapgarhi (2022-28) (2022-2028),Maharashtra,,,failed
Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030),Maharashtra,,,failed
Shri Golla Baburao (2024-30) (2024-2030),Andhra Pradesh,,,failed
Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030),Gujarat,,,failed
Dr. Sangeeta Balwant (2024-30) (2024-2030),Uttar Pradesh,,,failed
Dr. Medha Vishram Kulkarni (2024-30) (2024-2030),Maharashtra,,,failed
Smt. Mamata Thakur (2024-30) (2024-2030),West Bengal,,,failed
Shri Chunnilal Garasiya (2024-30) (2024-2030),Rajasthan,,,failed
Shri Banshilal Gurjar (2024-30) (2024-2030),Madhya Pradesh,,,failed
Shri Ramji Lal Suman (2024-30) (2024-2030),Uttar Pradesh,,,failed
Dr. L. Murugan (2024-30) (2024-2030),Madhya Pradesh,,,failed
Shri Ashokrao Shankarrao Chavan (2024-30) (2024-2030),Maharashtra,,,failed
Dr. Syed Naseer Hussain (2024-30) (2024-2030),Karnataka,,,failed
Smt. Sudha Murty (2024-30) (2024-2030),Karnataka,,,failed
Smt. Sadhna Singh (2024-30) (2024-2030),Uttar Pradesh,,,failed
Smt. Sonia Gandhi (2024-30) (2024-2030),Rajasthan,,,failed
Shri Pabitra Margherita (2022-28) (2022-2028),Assam,,,failed
Shri Lahar Singh Siroya (2022-28) (2022-2028),Karnataka,,,failed
Shri Rajeev Shukla (2022-28) (2022-2028),Chhattisgarh,,,failed
Shri Amar Pal Maurya (2024-30) (2024-2030),Uttar Pradesh,,,failed
Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030),Gujarat,,,failed
Shri G.C. Chandrashekhar (2024-30) (2024-2030),Karnataka,,,failed
Prof. Manoj Kumar Jha (2024-30) (2024-2030),Bihar,,,failed
Shri Subhash Barala (2024-30) (2024-2030),Haryana,,,failed
Shri Rajib Bhattacharjee (2024-28) (2024-2028),Tripura,,,failed
Shri Akhilesh Prasad Singh (2024-30) (2024-2030),Bihar,,,failed
Shri Tejveer Singh (2024-30) (2024-2030),Uttar Pradesh,,,failed
Shri Mayankkumar Nayak (2024-30) (2024-2030),Gujarat,,,failed
Ms. Dola Sen (2023-29) (2023-2029),West Bengal,,,failed
Shri Madan Rathore (2024-30) (2024-2030),Rajasthan,,,failed
Shri Mahendra Bhatt (2024-30) (2024-2030),Uttarakhand,,,failed
Shri P. P. Suneer (2024-30) (2024-2030),Kerala,,,failed
Dr. Sudhanshu Trivedi (2024-30) (2024-2030),Uttar Pradesh,,,failed
Shri Jose K. Mani (2024-30) (2024-2030),Kerala,,,failed
Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030),Andhra Pradesh,,,failed
Shri Mohammed Nadimul Haque (2024-30) (2024-2030),West Bengal,,,failed
Dr. V. Sivadasan (2021-27) (2021-2027),Kerala,,,failed
Shri Samik Bhattacharya (2024-30) (2024-2030),West Bengal,,,failed
Smt. Maya Naroliya (2024-30) (2024-2030),Madhya Pradesh,,,failed
Shri Ajay Makan (2024-30) (2024-2030),Karnataka,,,failed
Shri Pradip Kumar Varma (2024-30) (2024-2030),Jharkhand,,,failed
Smt. Jaya Amitabh Bachchan (2024-30) (2024-2030),Uttar Pradesh,,,failed
Shri Ashok Singh (2024-30) (2024-2030),Madhya Pradesh,,,failed
Shri Samirul Islam (2023-29) (2023-2029),West Bengal,,,failed
Smt. Sagarika Ghose (2024-30) (2024-2030),West Bengal,,,failed
Shri Derek O' Brien (2023-29) (2023-2029),West Bengal,,,failed
Shri Kartikeya Sharma (2022-28) (2022-2028),Haryana,,,failed
Dr. Sarfraz Ahmad (2024-30) (2024-2030),Jharkhand,,,failed
Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030),Uttar Pradesh,,,failed
Shri Balyogi Umeshnath (2024-30) (2024-2030),Madhya Pradesh,,,failed
Shri Sanjay Singh (2024-30) (2024-2030),Delhi,,,failed
Shri Naveen Jain (2024-30) (2024-2030),Uttar Pradesh,,,failed
Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028),Andhra Pradesh,,,failed
Shri Narain Dass Gupta (2024-30) (2024-2030),Delhi,,,failed
Shri Ryaga Krishnaiah (2024-28) (2024-2028),Andhra Pradesh,,,failed
Shri Devendra Pratap Singh (2024-30) (2024-2030),Chhattisgarh,,,failed
Shri Milind Murli Deora (2024-30) (2024-2030),Maharashtra,,,failed
Smt. Rekha Sharma (2024-28) (2024-2028),Haryana,,,failed
Shri B. Parthasaradhi Reddy (2022-28) (2022-2028),Telangana,,,failed
Shri Sanjay Kumar Jha (2024-30) (2024-2030),Bihar,,,failed
Shri Manan Kumar Mishra (2024-28) (2024-2028),Bihar,,,failed
Shri Subhasish Khuntia (2024-30) (2024-2030),Odisha,,,failed
Shri Sanjay Yadav (2024-30) (2024-2030),Bihar,,,failed
Smt. Rajathi (2025-31) (2025-2031),Tamil Nadu,,,failed
Dr. M. Dhanapal (2025-31) (2025-2031),Tamil Nadu,,,failed
Shri S.R. Sivalingam (2025-31) (2025-2031),Tamil Nadu,,,failed
Shri Birendra Prasad Baishya (2025-31) (2025-2031),Assam,,,failed
Shri C. Sadanandan Master (2025-31) (2025-2031),Kerala,,,failed
Shri Paka Venkata Satyanarayana (2025-28) (2025-2028),Andhra Pradesh,,,failed
Shri Kanad Purkayastha (2025-31) (2025-2031),Assam,,,failed
Shri I.S. Inbadurai (2025-31) (2025-2031),Tamil Nadu,,,failed
Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028),Maharashtra,,,failed
Dr. Meenakshi Jain (2025-31) (2025-2031),Delhi,,,failed
Shri P. Wilson (2025-31) (2025-2031),Tamil Nadu,,,failed
Smt. Renuka Chowdhury (2024-30) (2024-2030),Telangana,,,failed
Shri Jagat Prakash Nadda (2024-30) (2024-2030),Gujarat,,,failed
Smt. Phulo Devi Netam (2026-32) (2026-2032),Chhattisgarh,,,failed
Dr. Santrupt Misra (2026-32) (2026-2032),Odisha,,,failed
Shri Ram Nath Thakur (2026-32) (2026-2032),Bihar,,,failed
Shri Sat Paul Sharma (2025-31) (2025-2031),Jammu And Kashmir,,,failed
Smt. Laxmi Verma (2026-32) (2026-2032),Chhattisgarh,,,failed
Shri Jogen Mohan (2026-32) (2026-2032),Assam,,,failed
Shri Sujeet Kumar (2026-32) (2026-2032),Odisha,,,failed
Shri Neeraj Dangi (2026-32) (2026-2032),Rajasthan,,,failed
Smt. Adhikarimayum Sharda Devi (2026-32) (2026-2032),Manipur,,,failed
